date,description,amount,type,property_id,tenant_id
2024-08-31,RENT Sahra Awad #101 REF:T1-101,1400.0,rent_inflow,T1,1.0
2024-08-31,RENT Ayaan Hirsi #301 REF:LD2-301,1050.0,rent_inflow,LD2,72.0
2024-08-31,RENT Sulekha Ibrahim #166 REF:T1-166,337.5,rent_inflow,T1,66.0
2024-08-31,RENT Anas Mohamud #162 REF:T1-162,1100.0,rent_inflow,T1,62.0
2024-08-31,RENT Hamdi Osman #119 REF:T1-119,937.5,rent_inflow,T1,19.0
2024-09-01,RENT Khadar Awad #146 REF:T1-146,1100.0,rent_inflow,T1,46.0
2024-09-01,RENT Abukar Guleid #132 REF:T1-132,1250.0,rent_inflow,T1,32.0
2024-09-01,RENT Degan Awad #107 REF:T1-107,650.0,rent_inflow,T1,7.0
2024-09-01,RENT Asli Awad #118 REF:T1-118,1200.0,rent_inflow,T1,18.0
2024-09-02,RENT Samira Farah #115 REF:T1-115,1250.0,rent_inflow,T1,15.0
2024-09-02,RENT Hodan Osman #163 REF:T1-163,1100.0,rent_inflow,T1,63.0
2024-09-02,RENT Abdirahman Dirie #103 REF:T1-103,1200.0,rent_inflow,T1,3.0
2024-09-03,RENT Shukri Mahad #141 REF:T1-141,675.0,rent_inflow,T1,41.0
2024-09-03,RENT Sharmarke Fiidow #160 REF:T1-160,1200.0,rent_inflow,T1,60.0
2024-09-03,RENT Samira Ibrahim #147 REF:T1-147,1100.0,rent_inflow,T1,47.0
2024-09-03,RENT Ayaan Ibrahim #117 REF:T1-117,1250.0,rent_inflow,T1,17.0
2024-09-03,RENT Guled Farah #136 REF:T1-136,1200.0,rent_inflow,T1,36.0
2024-09-03,RENT Hussein Mahad #133 REF:T1-133,1200.0,rent_inflow,T1,33.0
2024-09-03,RENT Abukar Yare #401 REF:LD3-401,1150.0,rent_inflow,LD3,77.0
2024-09-03,RENT Rahma Dirie #402 REF:LD3-402,262.5,rent_inflow,LD3,78.0
2024-09-03,RENT Asli Osman #127 REF:T1-127,1350.0,rent_inflow,T1,27.0
2024-09-04,RENT Hodan Yare #164 REF:T1-164,1400.0,rent_inflow,T1,64.0
2024-09-04,RENT Fardowsa Barre #135 REF:T1-135,1300.0,rent_inflow,T1,35.0
2024-09-04,RENT Maryan Warsame #134 REF:T1-134,1300.0,rent_inflow,T1,34.0
2024-09-04,RENT Liban Hersi #131 REF:T1-131,1100.0,rent_inflow,T1,31.0
2024-09-04,RENT Ruqiya Hersi #113 REF:T1-113,1300.0,rent_inflow,T1,13.0
2024-09-04,RENT Hodan Ali #404 REF:LD3-404,1000.0,rent_inflow,LD3,80.0
2024-09-04,RENT Mustaf Farah #154 REF:T1-154,1200.0,rent_inflow,T1,54.0
2024-09-05,RENT Hodan Mohamud #125 REF:T1-125,1350.0,rent_inflow,T1,25.0
2024-09-05,RENT Sharmarke Farah #150 REF:T1-150,1350.0,rent_inflow,T1,50.0
2024-09-05,RENT Sahra Ibrahim #121 REF:T1-121,1100.0,rent_inflow,T1,21.0
2024-09-05,Common area cleaning - Laba Dhagax 2,-600.0,expense_outflow,LD2,
2024-09-05,RENT Khadar Yare #108 REF:T1-108,1100.0,rent_inflow,T1,8.0
2024-09-05,RENT Rahma Hersi #116 REF:T1-116,1200.0,rent_inflow,T1,16.0
2024-09-05,RENT Aden Osman #126 REF:T1-126,1300.0,rent_inflow,T1,26.0
2024-09-06,RENT Mustaf Fiidow #152 REF:T1-152,975.0,rent_inflow,T1,52.0
2024-09-06,RENT Faysal Dirie #151 REF:T1-151,1200.0,rent_inflow,T1,51.0
2024-09-06,RENT Anas Farah #153 REF:T1-153,1200.0,rent_inflow,T1,53.0
2024-09-06,RENT Degan Osman #203 REF:LD1-203,1150.0,rent_inflow,LD1,69.0
2024-09-06,RENT Anas Abdulle #138 REF:T1-138,350.0,rent_inflow,T1,38.0
2024-09-06,RENT Anas Guleid #104 REF:T1-104,1200.0,rent_inflow,T1,4.0
2024-09-06,RENT Hamdi Ibrahim #139 REF:T1-139,1400.0,rent_inflow,T1,39.0
2024-09-06,RENT Abukar Ibrahim #123 REF:T1-123,1250.0,rent_inflow,T1,23.0
